,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary
753,"November 06, 1944",?,"Jacksonville, Florida",Military - US Navy,?,?,Douglas C-47 Skytrain (DC-3),39063,9941,17,14,3,17,14,3,0,Colllided with a Navy Goodyear FG-1A Corsair airship.
754,"November 09, 1944",?,"Seljord, Norway",Military - U.S. Army Air Corps,?,?,?,42-52196,?,?,?,?,?,?,?,?,?
755,"November 10, 1944",?,"Near Kumming, Yunan, China",CATC,?,?,Lockheed Hudson,?,?,20,17,3,20,17,3,0,Crashed while attempting to land.
756,"November 19, 1944",1510,"Lewes, England",Military - U.S. Army Air Forces,?,Chateaudun - Greenham Common,Douglas C-47A-DL,43-15046,19512,30,25,5,25,20,5,0,"Flying in low overcast, the aircraft struck a hill, exploded and burned."
757,"November 29, 1944",?,"Nairobi, Kenya",BOAC,?,Cairo - Juba - Nairobi - Salisbury,Lockheed 18 LodeStar,G-AGBW,?,11,7,4,11,7,4,0,"Crashed in the Aberdare Mountains, 50 miles from it's destination after entering a thunderstorm. The wreckage was not located for a month."
758,"November 29, 1944",1500,"Tegucigalpa, Nicaragua",TACA,?,Near Tegucigalpa - San Pedro Sula,Ford 5-AT-B Tri-Motor,XH-TAN,?,16,14,2,16,14,2,0,Crashed while en route. Failure of a wing probably having been weakened by viabration turbulence and constant operation on rough fields.
759,"November 29, 1944",1025,"Off Falsterbo, Sweden",Deutsche Lufthansa,?,"Stockholm, Sweden - Berlin Germany",Focke-Wulf FW 200,D-ARHW,2994,10,6,4,10,6,4,0,Shot down by a German patrol boat.
760,"November 30, 1944",?,"Dinjan, China",China National Aviation Corporation,?,?,Douglas C-47,56,?,3,0,3,3,0,3,0,The cargo plane flew into Digboi Mountain after losing both engines.
761,"December 01, 1944",0054,"Van Nuys, California",Trans Continental and Western Air,13,San Francisco - Burbank - New York City,Douglas DC-3,NC17322,1965,17,14,3,9,6,3,0,The plane crashed and burned 6.5 miles west northwest of the Bubank Airport in dense fog. The pilot's deviation from the standard instrument approach procedure and descent below the established safe minimum altitude. A contributing factor was the company's failure to enforce adherence to company procedures.
762,"December 03, 1944",?,Atlantic Ocean,Trans-Canada Air Lines,?,?,Avro 683 Lancaster,CF-CMU,?,5,?,?,5,?,?,0,?
763,"December 07, 1944",1515,"Orlivka, Ukraine",Aeroflot,?,Chisinau - Kiev - Moscow,Lisunov LI-2,CCCP-L4161,1849106,16,11,5,16,11,5,0,Crashed in a revine in fog. Wrong decision on part of the crew to reduce their altitude and flying in minima weather conditions.
764,"December 15, 1944",1400,English Channel,Military - U.S. Army Air Forces,?,"Twinwood, England - Villacoublay, France",UC-64A Noorduyn Norseman,44-70286,550,3,2,1,3,2,1,0,"Disappeared over the English Channel en route from Bedford England to Paris, France. Band leader and musician Glenn Miller, 40, killed along with flight officer John Morgan and Lt. Colonel Norman Baessell. It has been theorized the plane may have been hit by bombs being jettisoned over the English Channel by RAF bombers on their way home from an unsuccessful raid. Wreckage and bodies were never found. The most accepted explanation is the pilot was not instrument rated and flew into worsening weather conditions and possibly carburetor icing caused an engine failure causing the plane to crash into the English Channel."
765,"January 06, 1945",?,"Near Dinjan, India",China National Aviation Corporation,?,Kunming - Tengchung,Douglas C-47,77,?,4,0,4,4,0,4,0,The cargo plane crashed in strong winds
766,"January 08, 1945",2116,"Port of Spain, Trinidad",Pan American World Airways,161,Miami - Leopoldville,Martin M-130 (flying boat),NC14716,558,30,?,?,23,?,?,0,"The aircraft crashed 1.25 miles short of the intended landing area in a nose-down attitude at too great a speed and broke up in the water. The first officer's failure to realize his proximity to the water and to correct his attitude for a normal landing and the lack of adequate supervision by the captain during the landing, resulting in the inadvertent flight into the water in excess of normal landing speed and in a nose-down attitude. The aircraft was named China Clipper."
767,"January 10, 1945",0410,"Burbank, California",American Airlines,6001,"New York City - Juarez, Mexico - Burbank",Douglas DC-3,NC25684,2215,24,21,3,24,21,3,0,"The aircraft, lost in fog, crashed into the Verdugo Mountains,  while attempting to reach Palmdale Airport, its alternate landing site, after being unable to land at Burbank Airport. The company ground personnel failed to obtain and transmit important weather to the pilot. Improperly executed missed approach by the pilot. Actress Donna Reed was returning from Juarez where she obtained a divorce from her husband but was bumped from the flight just prior to takeoff  to make room for a military officer holding a wartime-travel priority pass."
768,"January 14, 1945",?,China,China National Aviation Corporation,?,?,Douglas C-47,70,?,6,0,6,4,0,4,0,The cargo plane struck a mountain.
769,"January 16, 1945",?,"Near Kunming, China",China National Aviation Corporation,?,Chongqing - Kunming,Douglas C-47,?,?,3,0,3,3,0,3,0,?
770,"January 23, 1945",?,"Timor, Indonesia",Military - Royal Australian Air Force,?,?,Consolidated Liberator,A72-70,?,11,?,?,11,?,?,0,?
771,"January 31, 1945",0825,"Redesdale, Australia",Australian National Airways,?,Melbourne - Kerang - Mildura - Broken Hill,Stinson Model A,VH-UYY,9130,10,8,2,10,8,2,0,Crashed while en route from Melbourne to Broken Hill. Believed caused by metal fatigue in the outer port wing which broke off during severe turbulence.
772,"February 02, 1945",1015,"Near Montieri, Italy",Military - U.S. Army Air Forces,?,Florence - Rome,Douglas C-47-DL,41-18603,4728,26,22,4,23,21,2,0,Crashed into a mountain after encountering a fog bank and not climbing in sufficient time to avoid the terrain.
773,"February 06, 1945",1005,"Nunters Burgh, England",Military -Royal Air Force,?,Thorney Island - Amiens,Douglas C-47 Dakota,KG630,13390,23,19,4,23,19,4,0,Struck a mountain while flying in low clouds and poor visibility.
774,"February 13, 1945",0630,"Off Oakland, California",Military - U.S. Navy,?,?,Douglas R4D-6,50765,14848/26293,24,21,3,24,21,3,0,Crashed into San Francisco bay shortly after taking off. The right wing struck to water as the plane made a wide turn. Malfunction of the gyro.
775,"February 15, 1945",?,"Lagoa Santa, Brazil",Navegacao Aerea Brasileira,?,?,Lockheed 18 Loadstar,PP-NAE,2149,11,7,4,11,7,4,0,Crashed while en route.
776,"February 23, 1945",?,"Snezka mountains, Poland",Military - German Army,?,?,Junkers 52/3m,4V+DR,6820,8,8,0,8,8,0,0,Crashed in the Snezka mountains during an ice storm.
777,"February 23, 1945",0225,"Marion, Virginia",American Airlines,9,New York City - Los Angeles,Douglas DC-3,NC18142,2138,22,19,3,17,15,2,0,"The aircraft flew into the summit of Glade mountain at 3,900 ft., in heavy rain and turbulence  while en route. The pilot's failure to properly  plan the flight and remain at a safe instrument altitude under existing conditions. A contributing cause of the accident was the company's laxity in dispatching and supervising the flight."
778,"February 23, 1945",?,"Casablanca, Morocco",Military - United States Army Air Force,?,?,Curtiss C-46A,42-107377,27064,30,26,4,13,13,0,0,?
779,"March 27, 1945",?,"Coral Sea, off Australia",Military - U.S. Air Force,?,Cooktown - Finschafen,Douglas C-47A-90-DL,43-16011,20477,24,20,4,24,20,4,0,Disappeared en route.
780,"April 09, 1945",?,"Kunming, China",China National Aviation Corporation,?,Kunming - Sichang,Douglas C-47,88,?,3,0,3,3,0,3,0,The cargo plane struck a mountain in the Himalayas under poor weather conditions.
781,"April 14, 1945",1658,"Morgantown, West Virginia",Pennsylvania Central Airlines,142,Pittsburgh - Morgantown,Douglas DC-3,NC25692,2262,20,17,3,20,17,3,0,"The aircraft crashed against the slope of Cheat Mountain at 2,100 ft., 7 miles east northeast of Morgantown. The action of the pilot in continuing flight over mountainous terrain under instrument conditions, below the minimum authorized instrument altitude."
782,"April 19, 1945",0535,"Near Perth, Australia",Military - U.S. Navy,?,Perth - Adelaide,Douglas DC-3,39067,10017,13,11,2,13,11,2,0,Failed to gain altitude while taking off. The transport crashed into a hillside as it took off in heavy fog at Guildford Airport.
783,"April 20, 1945",?,"Near Steinreich, Germany",Lufthansa,?,Berlin - Prague - Vienna - Munich,Junkers JU-53/3m,D-ANAJ,?,20,17,3,18,15,3,0,Missing on an evacuation flight from Berlin to Munich. Shot down by Soviet forces south of Berlin.
784,"April 20, 1945",0640,"Sweetwater, Texas",Military - U.S. Army Air Forces,?,"Midland, TX - Nashville, TN",Douglas C-47-DL,41-18451,4513,25,22,3,25,22,3,0,Broke-up after entering an area of thunderstorms. Initial structural failure involved the elevator followed by the entire aircraft.
785,"April 21, 1945",2205,"Near Piesenkofen, Germany",Deutsche Lufthansa,?,Berlin - Munich,Focke-Wulf FW 200,D-ASHH,?,21,16,5,21,16,5,0,Shot down by Allied forces 50 miles from its destination.
786,"April 23, 1945",?,"North Barrule, Isle of Man, England",Military - U.S. Air Force,?,Ridgewell - Nutts Corner,B17G Flying Fortress,43-38856,9834,31,26,5,31,26,5,0,"While cruising at an altitude of 2,000 feet, the aircraft hit the slope of Mt North Barrule located 2 miles south of Ramsey."
787,"April 27, 1945",1240,Washington D.C.,Page Airways,?,Washington - New York,Lockheed 18 Lodestar,NC33328,2221,13,11,2,6,6,0,0,"Lost an engine during takeoff, settled back on the runway, overran the runway, rolled to the right and crashed into a drainage ditch and burned. Engine failure during a critical point in the take-off followed by the pilot executing an emergency landing under unfavorable conditions. Contributing factors were the strong gusts and ground turbulence which prevailed at the time and the presence of a deep ditch near the runway."
788,"May 05, 1945",2226,"Manus Island, New Guinea",Military - U.S. Army Air Forces,?,Lorengau - Biak,Douglas C-54E-DO (DC-4),44-9043,27269,21,15,6,21,15,6,0,Crashed into a wooded area shortly after taking off from Sorido airstrip at night. Cause unknown.
789,"May 06, 1945",1255,"Hindhead, England",Military - U.S. Army Air Forces,?,?,Curtiss-Wright C-46D-CU,44-77839,33235,30,25,5,30,25,5,1,"Flying low because of poor visiblity, the aircraft struck a radar tower, lost its right wing, crashed and burned. Pilot error. Flying VFR in IFR conditions."
790,"May 09, 1945",0130,"Roye, France",Military -Royal Air Force,?,England - Brussels,Avro Lancaster,RF230,?,31,25,6,31,25,6,0,The aircraft went in to a spin and crashed in a wooded area and caught fire.
791,"May 13, 1945",1500,"Iran Jayas, New Guinea",Military - U.S. Army Air Forces,?,?,Douglas C-47B-DK,43-49788,27049,23,19,4,20,16,4,0,"Crashed into a mountain at 7,000 feet. Three passengers rescued two weeks later. All occupants were members of the women's military corps of the US Army."
792,"May 30, 1945",0920,"Off Drewin, Ivory Coast",Military - U.S. Army Air Forces,?,"Accra, Ghana - Monrovia, Liberia",Douglas C-47B-dK,44-76406,32738,21,18,3,21,18,3,0,Disappeared off the Atlantic coast after sending a distress message. A witness observed the plane hit the water at a 45 degree angle. No wreckage or bodies were ever found.
793,"June 15, 1945",?,China,China National Aviation Corporation,?,?,Douglas C-47,81,?,3,0,3,3,0,3,0,"The aircraft crashed into a mountain in the Carstenz Range at an altitude of 14,200 ft. The wreckage was discovered in December 1970."
794,"June 24, 1945",1030,"Gealdton, Australia",Mac Robertson Miller Airlines,?,Perth - Geraldton - Carnarvon - Port Hedland,de Havilland DH-86A,VH-USF,2310,11,9,2,2,1,1,0,"The takeoff appeared normal but the aircraft did not climb and turned back for a landing. It flew hangars at about 300 feet then made a steep turn to port, followed by a wide low circuit back to the runway with port wing low. When just inside the airport, it dropped heavily on the starboard main undercarriage, bounced, contacted the ground with the tail wheel and bounced again. Striking the ground for the third time, on the port main wheel, as it bounced higher, engine power was applied but the aircraft swung to the left, banking steeply until the left wings were torn off by ground contact. The aircraft cartwheeled and hit the ground nose-first."
795,"June 25, 1945",0750,"Swanage, England",Military -Royal Air Force,?,?,Consolidated LB-30A Liberator,JT985,?,27,?,?,27,?,?,0,Crashed and burned on a hillside after experiencing engine failure.
796,"June 29, 1945",?,"Bangalore, India",Military - Royal Indian Air Force,?,?,?,?,?,2,?,?,2,?,?,36,Crashed into a village exploding and destoying several houses.
797,"June 30, 1945",?,Texas,Military - U.S. Air Force,?,?,Boeing TB-29A Super Fortress,44-69943,?,12,?,?,12,?,?,0,?
798,"July 04, 1945",?,North Atlantic Ocean,Military -Royal Air Force,?,Montreal - Gander - Keflavik - Prestwick - Northolt,Consolidated LB-30A Liberator,JT982,90030,15,?,?,15,?,?,0,Disappeared on a trans-Atlantic flight from Montreal to England.
799,"July 11, 1945",?,"Near Kisumu, Kenya",Military - South African Air Force,?,Kisumu - Durban,Douglas C-47,6812,6812,28,24,4,28,24,4,0,Crashed  on an island  located in Winam Bay shortly after take off Kismu.
800,"July 12, 1945",1436,"Near Florence, South Carolina",Eastern Air Lines / Military - U.S. Army Air Corps,45,Boston - NY - Washington DC - Jacksonville - Miami,Douglas DC-3-201C /  Army A-26,NC25647,2235,10,4,6,3,1,2,0,"After deviating off course 8 miles to avoid military traffic, the two planes collided at 3,000 ft. The commercial pilot landed the plane in a corn field.  Two occupants of the A-26 (33-35553) were killed and one parachuted safely. One infant was killed on the DC-3.  Lack of vigilance on the part  of the pilots of both aircraft, resulting in the failure of each pilot to see the other aircraft in time to  avoid a collision."
801,"July 28, 1945",0949,"New York, New York",Military - U.S. Army Air Forces,?,Bedford - New York,North American B-25D bomber,43-0577,87-8742,3,1,2,3,1,2,11,"A U.S. Army Air Force plane crashed into the 79th floor of the Empire State Building in heavy fog.  Lt. Col. William Franklin Smith Jr., the pilot, became disoriented while trying to land at Newark Airport.  Lt. Smith was told he had a 3 hour wait to land at Newark. Impatient to get his plane on the ground, he falsely declared he had official business at La Guardia Airport with the intention of diverting to Newark as soon as he was cleared. The 12 ton plane smashed a 20 ft. hole in the building. Fuel from the ruptured gas tanks poured out and set two floors ablaze killing 10 people. One engine exited the south side of the building and plunged into a penthouse below.  The second engine entered an elevator shaft and severed the cables plunging the car and the elevator operator 1,000 feet into a sub basement. Despite suffering a broken back, pelvis and legs, she survived."
802,"August 01, 1945",0950,"Near San Luis Potosi, Mexico",Lineas Aereas Mineras,?,Mexico City - Nogales,Boeing 247D,XA-DUY,1723,12,9,3,12,9,3,0,Crashed into mountainous terrain after encountering engine failure..
803,"August 03, 1945",1011,"Fort de France, Martinique",Pan American World Airways,216,Port of Spain - Fort de France,Sikorsky S-43 (flying boat),NC15066,4306,14,10,4,4,4,0,0,The aircraft crashed while landing at Fort de France. The plane sank and 4 passengers drowned. The attempt by the pilot to land the aircraft in conditions of water surface not suitable for landing of a flying boat.
804,"August 11, 1945",1600,"Ixtaccihuati, Mexico",Mexicana,?,Tapachula - Mexico City,Douglas DC-2-243,XA-DOT,2075,16,12,4,16,12,4,0,Crashed in Ixtaccihuatl mountain 40 miles east-sout-east of Mexico City. Navigational error as the crew's last message stated they were in an entirely different area.
805,"September 07, 1945",0213,"Florence, South Carolina",Eastern Air Lines,42,Miami - New York City,Douglas DC-3,NC33631,4137,22,19,3,22,19,3,0,"Fire was discovered on board the aircraft after having passed Florence. The fire originated in the general area of the right side of the rear cargo compartment and lavatory. The aircraft descended to a lower altitude while returning to Florence, struck two large  trees and crashed.  A fire of undetermined origin in the rear cargo compartment or lavatory which resulted in the inability of the pilot to maintain altitude long enough to effect an emergency landing."
806,"September 11, 1945",1015,"Near Milne Bay, New Guinea",Military - Royal Australian Air Force,?,Milne Bay - Dobodura,Douglas C-47A,A6556,25365,11,7,4,11,7,4,0,Left Milne Bay on routine flight  to Dobodura at 10:15. Crashed into sea near Milne Bay.
807,"September 15, 1945",0008,"Near Kansas, Missouri",Military - U.S. Army Air Forces,?,?,Douglas C-47B-DK,45-1011,34277,24,21,3,23,20,3,0,"Failed to gain altitude while taking off, struck trees, lost both wings, exploded and burned. Engine failure."
808,"September 18, 1945",?,"Puncak Jaya, Papua New Guinea",Military - Royal Australian Air Force,?,Pitu - Merauke - Bamaga - Townsville,Douglas C-47B-5-DK,A65-61,14554/25999,29,26,3,29,26,3,0,"A month later the wreckage was found  on the slope of a mountain located near Mt Puncak Jaya, southwest of Mulia, 100 feet from the summit. It"
809,"September 28, 1945",?,"Near Chihkiang, China",Military - United States Army Air Force,?,?,Curtiss C-46D,42-101183,30638,20,17,3,20,17,3,0,Crash 32 km southeast of Chinkiang under unknown circumstances.
810,"October 05, 1945",0105,"Lakeland, Florida",National Airlines,16,Miami - Jacksonville,Lockheed 18 Lodestar,NC18199,2265,15,12,3,2,2,0,0,Crashed into a lake while attempting to execute a missed approach. The faulty execution of a missed approach procedure resulting in settling of the aircraft into a water area beyond the landing runway.
811,"October 05, 1945",1250,"Elvetham, England",Military -Royal Air Force,?,England - Prague,Consolidated LB-40-A Liberator,?,?,23,18,5,23,18,5,0,Cashed and burned shortly after takeoff after experiencing an engine fire in the No. 2 engine.
812,"October 07, 1945",0030,"Rennes, France",Military - Royal Air Force,?,London - Cairo,Short Stirling IV,LJ668,?,26,20,6,26,20,6,0,Lost altitude while in a turn and attempting to land and crashed and burned short of the runway.
813,"October 13, 1945",2045,"Melsbroek, Belgium",Military -Royal Air Force,?,London - Brussels - New Delhi,Consolidated LB-30-A Liberator,KL595,?,31,25,6,31,25,6,0,The aircraft failed to gain speed or altitude and struck a hill at the end of the runway.
814,"October 16, 1945",1130,"Near Peking, China",Military - U.S. Army Air Forces,?,Hankou - Peking,Curtiss-Wright C-46F-CU,44-78591,22414,59,55,4,59,55,4,0,Struck a radio transmission tower while on approach for landing at Nanyman field after encountering low clouds and poor visibility.
815,"October 20, 1945",?,"Between Shanghi and Canton, China",China National Aviation Corporation,?,Shanghai - Canton,Douglas C-47,?,?,31,28,3,31,28,3,0,"Crashed into a mountain while en route, flying at a low altitude in adverse meteorological conditions."
816,"October 20, 1945",?,"Timor Sea, Atlantic Ocean",Military - Royal Australian Air Force,?,"Ambon, Indonesia - Darwin, Australia",Douglas C-47B,A65-83,16127/32875,25,21,4,25,21,4,0,Disappeared en route.
817,"October 23, 1945",?,"Near Chiringa, India",Military - Royal Air Force,?,?,Douglas C-47B,KJ957,14804/26249,14,12,2,14,12,2,0,Penetrated a thunderstorm and broke-up.
818,"October 24, 1945",?,"Tarapoto, Peru",Faucett,?,?,Faucett F-19,OB-PAG-139,24,5,4,1,5,4,1,0,Crashed on takeoff.
819,"October 24, 1945",?,"Valetta, Malta",BOAC,?,London - Valetta - Cairo,Douglas C-47 Skytrain (DC-3),G-AGHR,10097,16,13,3,9,9,0,0,The engine failed on takeoff and the plane stalled and crashed.
820,"October 30, 1945",1915,"Chihchiang, China",Military - U.S. Army Air Forces,?,Zhijiang - Shanghai,Curtiss-Wright C-46A-CK,43-47228,299,50,46,4,45,44,1,0,Crashed and burned on takeoff striking a hill.  Possible engine failure or overloading.
821,"November 01, 1945",1530,"Herrenalb, Germany",Military - U.S. Army Air Forces,?,Bovingdon - Schleissheim,Douglas C-47A-DK,42-93041,12909,30,26,4,26,22,4,0,The crew descended through low overcast to obtain their position.  Followed an river and crashed into wooded mountainside.  Navigator error in not informing the pilot of high terrain.
822,"November 03, 1945",0200,"Near Chuka, India",Military - U.S. Army Air Forces,?,Chabua - Karachi,Douglas C-54G,45528A,35981,44,40,4,44,40,4,0,Crashed into the Himalaysas and burned while en route. Wreckage found a month later.
823,"November 07, 1945",1115,"Near Grants, New Mexico",National Skyway Freight Co.,?,Alberquerque -,Budd RB-1 Conestoga,?,?,3,0,3,1,0,1,0,"After refueling in Alberquerque, the plane, carrying magazins to the west coast, crashed and burned after encountering snow and strong winds. The flight engineer survived."
824,"November 08, 1945",2000,"Off Corpus Christi, Texas",Military - U.S. Navy / Military - U.S. Navy,?,?,Martin PBM-3S  / Martin PBM-5,01710 / 69113,?,27,?,?,22,?,?,0,The aircraft expierence a midair collision over Corpus Christi Bay while on a training flight.
825,"November 09, 1945",2000,"Near Boccadi, Italy",Military - U.S. Army Air Forces,?,Athens - Naples,Douglas C-47A-DL,42-24363,10225,24,20,4,24,20,4,0,"The pilot radioed he was lost, shortly before impacting the ground while attempting to land in poor visibility."
826,"November 11, 1945",1200,"Near Picinisco, Italy",Military - U.S. Army Air Forces,?,France - Athens,Boeing B-17G,43-9197,10175,20,16,4,20,16,4,0,The plane disappeared after the pilot radioed he was exeriencing heavy icing and asked to divert to Rome.  The plane was found 5 months later on Mt. Meta.
827,"November 11, 1945",?,Himalayas,Military - U.S. Army,?,"Chabau, India - Karachi, Pakistan",Douglas C-54,?,?,44,?,?,44,?,?,0,"Crashed into a mountain ridge 200 ft. short of the summit, bounced over the top and crashed down the other side while  en route."
828,"November 11, 1945",2345,"Near Castel, Libya",Military -Royal Air Force,?,?,Short Stirling,PJ950,?,29,22,7,29,22,7,0,"While taking off the aircraft experienced an engine fire, stalled and crashed and burned."
829,"November 13, 1945",2015,"Near Tacloban, Philippines",Australian National Airways,?,?,Douglas C-48,VH-CDC,?,17,14,3,16,13,3,?,"Crashed into the sea afte an aborted landing at the island of Leyte. The plane touched down hard, pulled up, circled and crashed into the sea. Pilot error. Decision to land in unfavorable weather."
830,"November 15, 1945",0914,Near Jacquinot Bay  New Guinea,Military - Royal Australian Air Force,?,Lae - Finschhafen - Jacquinot Bay - Rabaul,Douglas C-47 Dakota-DK,A6554,26640,28,25,3,28,25,3,0,"Crashed into a 7,598 ft. mountain in the region of Wide Bay, 150 feet below the ridge, shortly after taking off. There were Australian and Indian soldiers on board."
831,"November 22, 1945",1000,"White's Farm, England",Military -Royal Air Force,?,Merryfield - Bombay,Consolidated LB-30A Liberator,KH126,?,27,22,5,27,22,5,0,"The aircraft crashed into a hill shortly after takeoff after and  making a turn, before reaching the prescribed altitude."
832,"December 03, 1945",1330,"Near Rochefort , France",Military -Royal Air Force,?,"India - Cambridge, England",Consolidated LB-30A Liberator,KH125,?,28,23,5,28,23,5,0,Crashed in severe turbulence in thunderstorms after losing the right wing and breaking up.
833,"December 05, 1945",2000,Off the Florida coast,Military - U.S. Navy,19,?,Five Grumman TBM Avengers,?,?,14,0,14,14,0,14,0,"The five aircraft, (23307) (73209) (46325) (46094) (45714), flying out of the U.S. Naval Air Station at Fort Lauderdale, on a training mission,  became lost, ran out of fuel and crashed into the Atlantic Ocean.  No trace of the planes were ever found. This was the incident that began the ""Bermuda Triangle"" legend."
834,"December 05, 1945",1950,"Off Smyrna, Bahamas",Military - U.S. Navy,?,Patrol,Martin PBM Mariner,59225,?,13,0,13,13,0,13,0,"Twenty minutes after taking off, while cruising at low height, the aircraft went out of control and crashed in an explosion into the Sargasso Sea,  The crew may have lost their situational awareness or suffered a spatial disorientation and lost control of the aircraft while flying by night over the sea, without any ground visual references."
835,"December 08, 1945",0113,"Near Billings, Montana",Military - U.S. Army,?,Minneapolis - Fargo - Billings,Douglas C-47,45-0922,16925/34183,21,19,2,17,15,2,0,Crashed into a field after hitting trees while attempting to land in a snowstorm.
836,"December 18, 1945",1010,"Voksenkollen, Norway",Military - Royal Air Force,?,Down Ampney - Copenhagen - Oslo,Douglas C-47B,KN413,16090/32838,17,13,4,17,13,4,0,Flew into the side of a hill after icing caused loss of power while attempting to land.
837,"December 25, 1945",1930,"Bangui, French Equatorial Africa",Air France,?,Paris - N’Djamena - Bangui - Antananarivo,Lockheed 18 Lodestar,F-BALV,2380,8,5,3,8,5,3,0,The aircraft went out of control and crashed in a wooded area located about 60 km west of Bangui Airport.
838,"December 25, 1945",?,"Near Dudinka, Russia",Polyarnya Aviatsiya,?,?,Douglas DC-3,?,?,10,6,4,10,6,4,0,Crashed 50 miles northwest of Norilsk after catching fire in the air.
839,"December 30, 1945",2113,"New York City, New York",Eastern Air Lines,14,Philadelphia - New York City,Douglas DC-3,NC18l23,1999,12,9,3,1,1,0,0,"The pilot, in the belief that he was encountering engine trouble, attempted a landing despite a landing approach which was too high and too fast. Initial contact with the runway was made at a point which provided insufficient room for a landing roll and at an airspeed considerable in excess of normal. The pilot was unable to bring the aircraft to a stop in time to avoid overshooting the runway. The decision of the pilot in attempting a landing from an approach which was too high and too fast."
840,"January 06, 1946",03:59,"Birmingham, Alabama",Pennsylvania Central Airlines,105,"New York City - Birmingham, AL",Douglas DC-3,N21786,4131,11,7,4,3,0,3,0,"In worsening weather conditions, the plane landed fast and high while making an instrument approach to Birmingham, overran the runway, crashed through the barrier fence and into a creek. The action of the pilot in committing himself to a landing from an approach which was too high and too fast."
841,"January 09, 1946",?,"Changchun, China",Military - Chinese Air Force,?,?,Douglas C-47,?,?,18,?,?,18,?,?,0,?
842,"January 14, 1946",?,"Near Netrubezh, Russia",Aeroflot,?,"Kharkov, Ukraine - Moscow",Lisunov Li-2,SSSR-4150,?,22,17,5,22,17,5,0,Experienced severe icing resulting in buffeting and structural failure.
843,"January 15, 1946",18:25,"Marseilles, France",Military -Royal Air Force,?,?,Douglas C-47 Dakota,KN557,33171,25,21,4,23,19,4,0,Crashed into a mountainside in a snowstorm.
844,"January 18, 1946",11:03,"Cheshire, Connecticut",Eastern Air Lines,16B,New York - Boston,Douglas DC-3-201E,NC19970,3254,17,14,3,17,14,3,0,"The aircraft lost control and spiraled into the ground after the No. 1 engine caught on fire and the left wing separated from the aircraft. The fire, caused by the failure of a fuel line or fuel line connection, led to failure of the left wing."
845,"January 19, 1946",?,"Crowsnest Pass, Alberta, Canada",Mililtary - Royal Canadian Air Force,?,"Comox, BC - Greenwood,NS",Douglas DC-3 Dakota,?,?,7,0,7,7,0,7,0,Collided with Mt. Ptolemy while en route.
846,"January 30, 1946",?,"Near Le Mans, France",Military - Royal Air Force,?,?,Douglas C-47B,KN500,16277/33025,11,?,?,11,?,?,0,?
847,"January 31, 1946",02:47,"Mt. Elk, Wyoming",United Air Lines,14,Boise - Denver,Douglas DC-3-194H,NC25675,2147,21,18,3,21,18,3,0,"The aircraft crashed into Elk Mountain after the crew made an unauthorized deviation from the prescribed route at an altitude insufficient to assure adequate clearance over Elk Mountain. Flight had originally filed for 13,000 ft.  But later amended the flight plan to 11,000 ft. Elk Mountain is 11,152 ft. MSL."
848,"February 05, 1946",?,"Negros, Philippines",Military - U.S. Army Air Forces,?,Iloilo - Cebu,Douglas C-47,?,?,20,16,4,20,16,4,0,Crashed into mountainous terrain while en route.
849,"February 21, 1946",?,"Charlottetown, PE, Canada",British Overseas Airways,?,?,Consolidated 32-2 Liberator II,G-AGEM,26,14,?,?,1,?,?,0,Crashed while attempting to land. Icing.
850,"March 03, 1946",08:12,"Live Oak Springs, California",American Airlines,6-103,Dallas - Tucon - San Diego,Douglas DC-3-227B,NC21799,2203,27,24,3,27,24,3,0,"While on approach to San Diego, the aircraft flew into Tierra Blanca Mountain at an altitude of 4,500 feet in fog, exploded and burned. The crew descended into instrument conditions to an altitude below that required to maintain clearance over Thing Mountain. The reason for the descent was not determined."
851,"March 05, 1946",17:00,"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,?,Paris - Prauge,Junkers JU-52/3m,OK-ZDN,?,15,11,4,12,10,2,0,Crashed and burned while approaching Ruzyne Aerodome to land after experiencing engine problems.
852,"March 10, 1946",20:55,"Off Hobart, Tasmania",Australian National Airways,?,Hobart - Melbourne,Douglas DC-3 (C-47DL),VH-AET,6013,25,21,4,25,21,4,0,The aircraft crashed 10 mins after takeoff from Hobart. Inadvertent engagement of the autopilot instead of the fuel crossfeed.
853,"March 17, 1946",?,"Near Nanking, China",Military - Chinese Air Force,?,Shanghai - Nanking,?,?,?,20,?,?,20,?,?,0,Crashed into mountainous terrain in low visibility while en route.
854,"March 18, 1946",?,"Between Chungking and Shanghai, China",China National Aviation Corporation,?,Chunking - Shanghai,?,139,?,?,?,?,?,?,?,?,Disappeared while en route. Plane never located.
855,"March 19, 1946",11:45,"Hobart Mills, California",Military - U.S. Army Air Forces,?,"Stockton, CA - Ogden, UT",Douglas C-47B,45-1085,?,26,23,3,26,23,3,0,The aircraft lost its right wing and disintegrated over Donner Summit for reasons unknown.
